label,feature_group,model,threshold_rule,threshold,split,roc_auc,average_precision,f1,precision,recall,balanced_accuracy,selected_for_final,n_train,n_validation,n_test,model_params
high_dsv20_state_85,total_only,random_forest_tuned_threshold,max_recall_precision_ge_0_30,0.5,test,0.5347343059831349,0.2189824414985399,0.33513513513513515,0.25203252032520324,0.5,0.5591286307053942,False,1262,303,303,"{""n_estimators"": 600, ""max_depth"": 5, ""min_samples_leaf"": 2, ""random_state"": 42}"
high_dsv20_state_85,total_only,random_forest_default_0_5,default_0_5,0.5,test,0.5347343059831349,0.2189824414985399,0.33513513513513515,0.25203252032520324,0.5,0.5591286307053942,False,1262,303,303,"{""n_estimators"": 600, ""max_depth"": 5, ""min_samples_leaf"": 2, ""random_state"": 42}"
high_dsv20_state_85,total_only,majority_class,majority_class,,test,0.5,0.20462046204620463,0.0,0.0,0.0,0.5,False,1262,303,303,{}
high_dsv20_state_85,net_only,random_forest_tuned_threshold,max_f1,0.343808,test,0.48136126355240255,0.3035319268226411,0.26556016597510373,0.1787709497206704,0.5161290322580645,0.45308526301699903,True,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_85,net_only,random_forest_tuned_threshold,max_balanced_accuracy,0.343808,test,0.48136126355240255,0.3035319268226411,0.26556016597510373,0.1787709497206704,0.5161290322580645,0.45308526301699903,False,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_85,net_only,random_forest_tuned_threshold,max_recall_precision_ge_0_30,0.5,test,0.48136126355240255,0.3035319268226411,0.3387096774193548,0.3387096774193548,0.3387096774193548,0.584292598045777,False,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_85,net_only,random_forest_default_0_5,default_0_5,0.5,test,0.48136126355240255,0.3035319268226411,0.3387096774193548,0.3387096774193548,0.3387096774193548,0.584292598045777,False,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_85,net_only,majority_class,majority_class,,test,0.5,0.20462046204620463,0.0,0.0,0.0,0.5,False,1262,303,303,{}
high_dsv20_state_85,total_plus_net,random_forest_tuned_threshold,max_f1,0.451194,test,0.5490563512247356,0.2765509706809974,0.3248730964467005,0.23703703703703705,0.5161290322580645,0.544371570070941,True,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_85,total_plus_net,random_forest_tuned_threshold,max_balanced_accuracy,0.451194,test,0.5490563512247356,0.2765509706809974,0.3248730964467005,0.23703703703703705,0.5161290322580645,0.544371570070941,False,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_85,total_plus_net,random_forest_tuned_threshold,max_recall_precision_ge_0_30,0.5,test,0.5490563512247356,0.2765509706809974,0.35443037974683544,0.2916666666666667,0.45161290322580644,0.5847276134386293,False,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_85,total_plus_net,random_forest_default_0_5,default_0_5,0.5,test,0.5490563512247356,0.2765509706809974,0.35443037974683544,0.2916666666666667,0.45161290322580644,0.5847276134386293,False,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_85,total_plus_net,majority_class,majority_class,,test,0.5,0.20462046204620463,0.0,0.0,0.0,0.5,False,1262,303,303,{}
