label_q,label_col,model,split,train_n,validation_n,test_n,train_positive_rate,validation_positive_rate,test_positive_rate,selected_threshold,threshold_selection_rule,notes,roc_auc,average_precision,f1,precision,recall,balanced_accuracy
75,high_dsv20_state_75,svc_rbf,test,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.5722864965115251,0.6483356442865091,0.7161016949152542,0.5577557755775577,1.0,0.5
75,high_dsv20_state_75,linear_svc_calibrated,validation,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.4128214159915463,0.3811043386768299,0.6195899772209568,0.44884488448844884,1.0,0.5
75,high_dsv20_state_75,linear_svc_calibrated,test,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.6378168329947894,0.6426222177300495,0.7161016949152542,0.5577557755775577,1.0,0.5
75,high_dsv20_state_75,knn_classifier,validation,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.5449982388164847,0.5581372683852902,0.6195899772209568,0.44884488448844884,1.0,0.5
75,high_dsv20_state_75,knn_classifier,test,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.5749359710324119,0.5873966804638643,0.7161016949152542,0.5577557755775577,1.0,0.5
75,high_dsv20_state_75,gaussian_nb,validation,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.4215392743923917,0.4514902564822973,0.6195899772209568,0.44884488448844884,1.0,0.5
75,high_dsv20_state_75,gaussian_nb,test,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.4873266802084253,0.5568760887896508,0.7161016949152542,0.5577557755775577,1.0,0.5
80,high_dsv20_state_80,majority_class,validation,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,,not_applicable,baseline,0.5,0.39603960396039606,0.0,0.0,0.0,0.5
80,high_dsv20_state_80,majority_class,test,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,,not_applicable,baseline,0.5,0.4752475247524752,0.0,0.0,0.0,0.5
80,high_dsv20_state_80,logistic_regression_default_0_5,validation,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.5,fixed_0_5,baseline,0.46985428051001826,0.3626537754608129,0.0,0.0,0.0,0.5
80,high_dsv20_state_80,logistic_regression_default_0_5,test,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.5,fixed_0_5,baseline,0.5170772187281621,0.45837835920356984,0.15384615384615385,0.3684210526315789,0.09722222222222222,0.4731394129979036
